account_id,customer_id,account_type,open_date,status
ACC00001,CUST0196,Credit,2024-06-20,Active
ACC00002,CUST0034,Credit,2022-04-13,Active
ACC00003,CUST0023,Credit,2024-09-21,Active
ACC00004,CUST0128,Investment,2021-10-01,Inactive
ACC00005,CUST0183,Savings,2020-03-29,Inactive
ACC00006,CUST0127,Investment,2020-05-15,Active
ACC00007,CUST0190,Credit,2023-09-24,Active
ACC00008,CUST0034,Investment,2023-05-01,Inactive
ACC00009,CUST0179,Credit,2020-02-29,Active
ACC00010,CUST0145,Credit,2022-05-04,Active
ACC00011,CUST0104,Credit,2024-09-10,Inactive
ACC00012,CUST0156,Investment,2024-08-28,Inactive
ACC00013,CUST0132,Savings,2023-06-19,Inactive
ACC00014,CUST0126,Investment,2021-09-07,Active
ACC00015,CUST0042,Investment,2024-10-15,Active
ACC00016,CUST0051,Investment,2024-02-11,Inactive
ACC00017,CUST0133,Savings,2020-03-07,Inactive
ACC00018,CUST0082,Savings,2023-10-18,Active
ACC00019,CUST0115,Savings,2020-08-13,Inactive
ACC00020,CUST0188,Savings,2023-05-14,Active
ACC00021,CUST0123,Savings,2020-10-29,Inactive
ACC00022,CUST0153,Savings,2023-02-21,Inactive
ACC00023,CUST0064,Credit,2022-09-22,Active
ACC00024,CUST0024,Credit,2024-08-22,Inactive
ACC00025,CUST0133,Savings,2024-06-11,Active
ACC00026,CUST0118,Investment,2023-12-18,Active
ACC00027,CUST0185,Savings,2020-07-21,Active
ACC00028,CUST0026,Credit,2022-06-25,Active
ACC00029,CUST0185,Savings,2021-11-11,Inactive
ACC00030,CUST0033,Savings,2021-06-21,Inactive
ACC00031,CUST0169,Credit,2023-06-08,Inactive
ACC00032,CUST0057,Investment,2024-07-20,Active
ACC00033,CUST0127,Credit,2023-06-25,Active
ACC00034,CUST0196,Savings,2021-08-07,Active
ACC00035,CUST0091,Savings,2023-03-26,Active
ACC00036,CUST0151,Investment,2024-04-13,Active
ACC00037,CUST0110,Savings,2023-12-18,Inactive
ACC00038,CUST0141,Savings,2021-12-16,Active
ACC00039,CUST0161,Savings,2022-10-14,Active
ACC00040,CUST0018,Investment,2023-11-13,Inactive
ACC00041,CUST0001,Savings,2022-08-31,Active
ACC00042,CUST0114,Savings,2024-12-15,Active
ACC00043,CUST0155,Investment,2020-07-20,Active
ACC00044,CUST0024,Savings,2023-04-22,Inactive
ACC00045,CUST0131,Investment,2021-03-18,Active
ACC00046,CUST0041,Investment,2022-04-06,Active
ACC00047,CUST0063,Investment,2023-12-14,Active
ACC00048,CUST0044,Credit,2022-09-10,Active
ACC00049,CUST0184,Credit,2022-01-20,Active
ACC00051,CUST0002,Credit,2021-01-15,Active
ACC00052,CUST0132,Investment,2022-06-23,Inactive
ACC00053,CUST0039,Credit,2024-04-06,Inactive
ACC00054,CUST0196,Credit,2020-11-12,Active
ACC00055,CUST0147,Savings,2024-11-11,Active
ACC00056,CUST0058,Savings,2022-02-17,Active
ACC00057,CUST0110,Savings,2022-03-06,Active
ACC00058,CUST0018,Credit,2024-08-21,Active
ACC00059,CUST0057,Credit,2021-08-01,Inactive
ACC00061,CUST0029,Credit,2021-02-14,Active
ACC00062,CUST0178,Investment,2024-01-12,Active
ACC00063,CUST0043,Savings,2024-01-14,Active
ACC00064,CUST0185,Savings,2023-10-22,Active
ACC00065,CUST0027,Investment,2022-10-09,Active
ACC00066,CUST0151,Credit,2021-04-13,Inactive
ACC00067,CUST0002,Credit,2024-10-20,Active
ACC00068,CUST0008,Savings,2022-05-09,Active
ACC00069,CUST0049,Savings,2021-01-24,Inactive
ACC00070,CUST0151,Investment,2024-06-22,Active
ACC00071,CUST0130,Savings,2023-06-08,Inactive
ACC00072,CUST0151,Savings,2020-03-28,Inactive
ACC00073,CUST0102,Investment,2022-10-23,Active
ACC00074,CUST0024,Investment,2024-11-24,Inactive
ACC00075,CUST0101,Savings,2021-01-21,Inactive
ACC00076,CUST0088,Investment,2021-05-19,Active
ACC00077,CUST0006,Credit,2022-01-24,Inactive
ACC00078,CUST0117,Investment,2024-02-16,Inactive
ACC00079,CUST0006,Investment,2025-01-01,Active
ACC00080,CUST0091,Investment,2021-06-26,Inactive
ACC00081,CUST0190,Savings,2023-09-16,Active
ACC00082,CUST0141,Credit,2020-05-23,Inactive
ACC00083,CUST0073,Investment,2024-09-29,Inactive
ACC00084,CUST0144,Savings,2023-07-21,Active
ACC00085,CUST0192,Savings,2023-07-06,Active
ACC00086,CUST0166,Credit,2020-08-05,Inactive
ACC00087,CUST0143,Investment,2023-10-28,Active
ACC00088,CUST0020,Investment,2022-07-03,Inactive
ACC00089,CUST0020,Savings,2024-08-20,Inactive
ACC00090,CUST0086,Savings,2024-07-10,Active
ACC00091,CUST0006,Investment,2022-12-30,Inactive
ACC00092,CUST0062,Investment,2024-06-25,Inactive
ACC00093,CUST0126,Investment,2020-06-24,Active
ACC00094,CUST0087,Savings,2022-10-11,Active
ACC00095,CUST0066,Savings,2020-05-08,Active
ACC00096,CUST0089,Investment,2022-12-16,Inactive
ACC00098,CUST0118,Savings,2024-06-29,Active
ACC00099,CUST0122,Investment,2024-11-30,Active
ACC00100,CUST0089,Investment,2023-11-21,Inactive
ACC00101,CUST0196,Investment,2022-01-17,Inactive
ACC00102,CUST0167,Savings,2022-10-20,Inactive
ACC00103,CUST0140,Credit,2023-12-31,Active
ACC00104,CUST0160,Savings,2021-03-19,Inactive
ACC00105,CUST0017,Credit,2021-06-19,Inactive
ACC00106,CUST0172,Savings,2021-06-11,Inactive
ACC00107,CUST0179,Savings,2024-08-14,Active
ACC00108,CUST0078,Savings,2021-12-16,Inactive
ACC00109,CUST0174,Savings,2023-06-16,Inactive
ACC00111,CUST0063,Credit,2021-05-06,Inactive
ACC00112,CUST0067,Credit,2020-08-15,Inactive
ACC00113,CUST0116,Investment,2022-01-04,Inactive
ACC00114,CUST0008,Credit,2024-06-10,Inactive
ACC00116,CUST0120,Credit,2021-10-23,Inactive
ACC00117,CUST0069,Credit,2021-10-01,Active
ACC00118,CUST0114,Credit,2020-06-11,Inactive
ACC00119,CUST0196,Credit,2020-02-06,Inactive
ACC00120,CUST0169,Savings,2022-12-02,Inactive
ACC00121,CUST0161,Investment,2024-03-04,Inactive
ACC00122,CUST0009,Investment,2022-08-17,Active
ACC00123,CUST0053,Investment,2024-12-31,Inactive
ACC00124,CUST0057,Savings,2020-05-13,Inactive
ACC00125,CUST0125,Credit,2020-03-16,Active
ACC00126,CUST0022,Savings,2024-06-09,Inactive
ACC00127,CUST0162,Credit,2024-07-10,Active
ACC00128,CUST0007,Investment,2022-04-30,Active
ACC00129,CUST0087,Savings,2022-05-15,Inactive
ACC00130,CUST0103,Credit,2020-12-10,Active
ACC00131,CUST0094,Investment,2024-06-26,Active
ACC00132,CUST0120,Credit,2022-08-21,Active
ACC00133,CUST0045,Investment,2024-10-15,Active
ACC00134,CUST0022,Investment,2024-08-25,Active
ACC00135,CUST0180,Investment,2023-02-27,Inactive
ACC00136,CUST0111,Investment,2023-06-13,Inactive
ACC00137,CUST0022,Savings,2022-10-30,Active
ACC00138,CUST0150,Investment,2023-10-22,Active
ACC00139,CUST0076,Savings,2020-04-06,Active
ACC00141,CUST0135,Investment,2020-07-02,Active
ACC00142,CUST0149,Credit,2021-08-27,Active
ACC00143,CUST0028,Savings,2022-04-21,Inactive
