customer_id,year,quarter,score,risk_level
CUST0001,2023,Q2,610,Medium
CUST0002,2023,Q3,587,Medium
CUST0002,2024,Q3,450,High
CUST0003,2024,Q1,837,Low
CUST0004,2024,Q4,558,Medium
CUST0005,2025,Q2,781,Low
CUST0006,2023,Q1,408,High
CUST0007,2024,Q4,367,High
CUST0008,2025,Q3,564,Medium
CUST0009,2023,Q2,781,Low
CUST0010,2025,Q3,802,Low
CUST0011,2024,Q4,480,High
CUST0012,2024,Q1,419,High
CUST0013,2024,Q3,740,Low
CUST0014,2023,Q1,408,High
CUST0015,2024,Q2,602,Medium
CUST0017,2023,Q2,381,High
CUST0018,2025,Q4,464,High
CUST0019,2025,Q1,583,Medium
CUST0020,2023,Q4,786,Low
CUST0021,2025,Q3,615,Medium
CUST0022,2025,Q1,346,High
CUST0023,2023,Q4,544,High
CUST0024,2023,Q3,439,High
CUST0025,2023,Q1,701,Low
CUST0026,2023,Q2,449,High
CUST0027,2023,Q4,732,Low
CUST0029,2023,Q1,452,High
CUST0030,2023,Q1,300,High
CUST0031,2023,Q3,778,Low
CUST0032,2023,Q4,538,High
CUST0033,2024,Q2,394,High
CUST0034,2025,Q3,427,High
CUST0035,2023,Q1,607,Medium
CUST0036,2025,Q2,316,High
CUST0037,2025,Q4,486,High
CUST0038,2023,Q4,707,Low
CUST0039,2024,Q4,544,High
CUST0040,2024,Q2,492,High
CUST0041,2024,Q1,363,High
CUST0042,2023,Q3,600,Medium
CUST0043,2024,Q1,839,Low
CUST0044,2025,Q4,552,Medium
CUST0045,2023,Q4,727,Low
CUST0047,2023,Q3,817,Low
CUST0048,2025,Q1,450,High
CUST0049,2025,Q1,789,Low
CUST0050,2024,Q1,603,Medium
CUST0051,2025,Q2,336,High
CUST0052,2023,Q3,336,High
CUST0053,2025,Q1,547,High
CUST0054,2024,Q4,783,Low
CUST0055,2024,Q2,843,Low
CUST0056,2025,Q2,835,Low
CUST0057,2024,Q4,602,Medium
CUST0058,2025,Q3,526,High
CUST0061,2024,Q3,827,Low
CUST0062,2023,Q1,796,Low
CUST0063,2025,Q1,306,High
CUST0064,2023,Q1,823,Low
CUST0065,2023,Q3,587,Medium
CUST0066,2023,Q3,571,Medium
CUST0067,2025,Q1,612,Medium
CUST0068,2023,Q2,706,Low
CUST0069,2024,Q4,391,High
CUST0070,2023,Q4,462,High
CUST0071,2025,Q2,749,Low
CUST0072,2024,Q1,476,High
CUST0073,2024,Q2,378,High
CUST0074,2025,Q2,315,High
CUST0075,2023,Q2,825,Low
CUST0076,2024,Q2,592,Medium
CUST0077,2023,Q4,511,High
CUST0078,2024,Q2,322,High
CUST0080,2023,Q4,423,High
CUST0081,2024,Q3,450,High
CUST0082,2025,Q2,795,Low
CUST0083,2023,Q4,389,High
CUST0084,2025,Q1,795,Low
