customer_id,segment,gender,age,city
CUST0001,VIP,F,57,HN
CUST0002,Affluent,F,42,CT
CUST0003,Mass,M,65,CT
CUST0004,Affluent,M,62,CT
CUST0005,Affluent,M,23,HN
CUST0006,VIP,F,51,HCM
CUST0007,VIP,F,39,CT
CUST0008,Affluent,M,30,CT
CUST0009,Mass,M,19,CT
CUST0010,Affluent,F,64,HN
CUST0011,Affluent,F,57,HCM
CUST0012,Mass,F,45,HN
CUST0013,Mass,F,62,HCM
CUST0014,VIP,F,60,HCM
CUST0015,VIP,F,24,HCM
CUST0016,Affluent,F,50,CT
CUST0017,Affluent,F,53,DN
CUST0018,Mass,F,61,HN
CUST0019,VIP,M,62,HN
CUST0020,Mass,M,43,HCM
CUST0021,VIP,M,28,HCM
CUST0022,Mass,M,39,CT
CUST0023,Mass,M,57,DN
CUST0024,Mass,M,36,DN
CUST0025,VIP,M,26,CT
CUST0026,Mass,F,39,CT
CUST0027,Mass,F,30,HN
CUST0028,Affluent,M,54,HN
CUST0029,Mass,F,32,DN
CUST0030,Mass,F,31,HN
CUST0031,Affluent,F,41,HCM
CUST0032,Affluent,M,23,CT
CUST0033,Mass,F,27,HCM
CUST0034,Mass,M,63,HCM
CUST0035,Affluent,M,42,HCM
CUST0036,VIP,F,24,HN
CUST0037,Affluent,M,40,DN
CUST0038,Mass,M,19,HCM
CUST0039,Mass,M,49,HN
CUST0040,Mass,F,18,HN
CUST0041,Mass,F,27,DN
CUST0042,VIP,M,18,DN
CUST0043,Affluent,M,34,DN
CUST0044,Affluent,M,46,CT
CUST0045,Affluent,F,29,CT
CUST0046,Affluent,F,61,DN
CUST0047,Mass,M,43,CT
CUST0048,Mass,M,57,CT
CUST0049,Affluent,F,28,HN
CUST0050,Affluent,F,45,HCM
CUST0051,Affluent,M,35,CT
CUST0052,Mass,M,45,HCM
CUST0053,VIP,F,37,HCM
CUST0054,VIP,F,22,HCM
CUST0055,Mass,M,44,DN
CUST0056,Affluent,M,50,HN
CUST0057,VIP,F,29,DN
CUST0058,VIP,M,41,HCM
CUST0059,Affluent,F,57,DN
CUST0060,Mass,M,34,CT
CUST0061,Mass,F,45,HCM
CUST0062,Affluent,F,43,HN
CUST0063,Affluent,F,44,DN
CUST0064,Mass,M,58,HN
CUST0065,Affluent,M,31,HN
CUST0066,VIP,F,61,HN
CUST0067,Mass,M,25,DN
CUST0068,Mass,M,52,DN
