txn_id,account_id,txn_date,amount,channel,txn_type,risk_flag
TXN000001,ACC00103,2025-01-02,3325.73,Online,Payment,1
TXN000002,ACC00035,2024-04-24,2672.79,Online,Withdrawal,0
TXN000003,ACC00254,2024-04-16,3574.89,Online,Transfer,1
TXN000004,ACC00228,2025-12-07,3857.75,POS,Payment,1
TXN000005,ACC00206,2025-12-20,2655.17,POS,Withdrawal,0
TXN000006,ACC00208,2025-05-14,4896.34,POS,Transfer,1
TXN000007,ACC00030,2024-12-02,1161.13,ATM,Transfer,1
TXN000008,ACC00183,2025-05-14,502.6,POS,Withdrawal,0
TXN000009,ACC00220,2024-08-25,90.42,Online,Transfer,0
TXN000010,ACC00026,2024-12-24,3096.1,Online,Payment,1
TXN000011,ACC00102,2025-02-10,4811.01,POS,Transfer,1
TXN000012,ACC00085,2025-01-11,4489.94,POS,Transfer,1
TXN000013,ACC00299,2025-08-15,512.7,ATM,Withdrawal,0
TXN000014,ACC00085,2024-10-06,3769.64,Online,Withdrawal,1
TXN000015,ACC00066,2024-10-05,3150.76,ATM,Withdrawal,1
TXN000016,ACC00052,2024-02-25,3423.38,Online,Payment,1
TXN000017,ACC00146,2024-04-21,4393.31,ATM,Payment,1
TXN000018,ACC00020,2025-03-05,2583.26,Online,Withdrawal,0
TXN000019,ACC00091,2024-12-20,2385.43,Online,Withdrawal,0
TXN000020,ACC00052,2024-08-22,918.59,Online,Transfer,0
TXN000021,ACC00185,2024-08-13,661.8,ATM,Transfer,1
TXN000022,ACC00264,2024-07-07,52.17,Online,Transfer,0
TXN000023,ACC00213,2024-09-20,4229.88,ATM,Transfer,1
TXN000024,ACC00158,2024-07-22,1127.75,ATM,Payment,0
TXN000025,ACC00223,2024-05-22,595.49,Online,Payment,0
TXN000026,ACC00052,2025-02-17,1342.72,Online,Transfer,1
TXN000027,ACC00101,2024-03-27,3669.77,POS,Payment,1
TXN000028,ACC00133,2025-06-02,2218.29,POS,Withdrawal,0
TXN000029,ACC00059,2025-06-11,4071.89,Online,Transfer,1
TXN000030,ACC00059,2025-10-31,3504.01,ATM,Payment,1
TXN000031,ACC00121,2024-06-26,1276.26,ATM,Transfer,0
TXN000032,ACC00281,2024-02-19,4525.61,ATM,Transfer,1
TXN000033,ACC00048,2024-01-21,857.24,ATM,Withdrawal,0
TXN000034,ACC00046,2025-08-05,4815.67,Online,Transfer,1
TXN000035,ACC00242,2025-05-16,2397.51,ATM,Transfer,1
TXN000036,ACC00274,2024-08-13,101.33,Online,Withdrawal,0
TXN000037,ACC00031,2024-02-26,3603.95,POS,Payment,1
TXN000038,ACC00129,2024-03-14,4809.14,ATM,Transfer,1
TXN000039,ACC00008,2025-01-18,3098.67,ATM,Payment,1
TXN000040,ACC00185,2024-11-16,2749.54,POS,Withdrawal,0
TXN000041,ACC00286,2024-06-17,546.54,Online,Withdrawal,0
TXN000042,ACC00254,2024-01-15,2581.17,Online,Withdrawal,0
TXN000043,ACC00194,2025-07-04,396.49,Online,Withdrawal,0
TXN000044,ACC00247,2024-01-25,1831.21,Online,Transfer,0
